order_id,order_datetime,customer_id,region,channel,category,product,quantity,unit_price,discount_pct,revenue,cost,status,payment_method,is_member,customer_age,rating,coupon_code,sales_rep,notes
ORD-00001,2026-05-12 12:18:00,CUST-0056,Central,partner,Home,Storage Box,1,174.61,10,157.15,116.87,completed,credit_card,True,37,4,VIP,Alice,delayed shipment
ORD-00002,2025-02-19 20:40:00,CUST-0062,Central,partner,Books,Python Basics,4,211.97,0,0.0,0.0,cancelled,credit_card,False,40,3,,Bob,priority customer
ORD-00003,2025-03-24 13:39:00,CUST-0037,East,mobile,Sports,Dumbbell,5,524.49,5,2491.33,1688.46,pending,apple_pay,False,27,2,VIP,,delayed shipment
ORD-00004,2026-03-02 08:21:00,CUST-0018,Central,mobile,Books,Finance 101,5,801.73,5,3808.22,2395.21,completed,bank_transfer,True,70,3,,Alice,gift order
ORD-00005,2026-02-02 12:01:00,CUST-0112,Central,web,Books,Finance 101,3,268.09,0,804.27,540.19,completed,paypal,False,56,4,WELCOME10,Bob,
ORD-00006,2025-01-02 15:51:00,CUST-0167,East,web,Electronics,Headphones,5,121.34,25,455.03,287.92,pending,paypal,False,48,,VIP,Diana,address corrected
ORD-00007,2025-04-22 22:47:00,CUST-0200,East,store,Sports,Dumbbell,3,552.25,10,1491.08,944.71,pending,paypal,True,47,1,SUMMER25,,delayed shipment
ORD-00008,2025-08-02 14:47:00,CUST-0020,North,web,Sports,Running Shoes,6,215.36,5,0.0,0.0,cancelled,apple_pay,True,74,4,VIP,Evan,
ORD-00009,2026-06-10 14:51:00,CUST-0109,West,store,Sports,Basketball,3,29.56,15,75.38,60.17,completed,paypal,True,46,4,SUMMER25,Evan,delayed shipment
ORD-00010,2025-03-27 19:54:00,CUST-0184,West,store,Home,Lamp,5,448.7,20,1794.8,1362.51,pending,apple_pay,True,23,,,Evan,
ORD-00011,2026-05-08 11:34:00,CUST-0122,West,store,Electronics,Mouse,2,622.02,20,-995.23,687.98,refunded,paypal,False,41,5,,Chen,gift order
ORD-00012,2026-03-15 11:21:00,CUST-0022,Central,store,Electronics,Mouse,6,82.06,15,418.51,251.82,completed,paypal,False,63,4,,Evan,address corrected
ORD-00013,2025-01-17 17:15:00,CUST-0167,West,mobile,Sports,Basketball,3,676.81,20,-1624.34,788.76,refunded,apple_pay,False,47,4,WELCOME10,Evan,delayed shipment
ORD-00014,2026-03-07 16:39:00,CUST-0075,West,store,Electronics,Mouse,6,53.64,5,305.75,171.76,completed,bank_transfer,True,51,1,SUMMER25,Chen,
